TFMSC Report (Airport),,,,,
,,,,,
"From 01/01/2020 To 08/29/2020 | Airport=ATL, DFW, JFK, LAX, ORD | User Class=Air Carrier | Not Business Jet | Business Aviation=N",,,,,
Date,Airport,Flight Type,Aircraft Type,Departures,Departure Seats
1/1/20,ORD - Chicago,US to Foreign,A321 - Airbus A321 All Series,3,540
1/1/20,ORD - Chicago,US to Foreign,B737 - Boeing 737-700,2,260
1/1/20,ORD - Chicago,US to Foreign,B738 - Boeing 737-800,12,"1,934"
1/1/20,ORD - Chicago,US to Foreign,B739 - Boeing 737-900,5,900
1/1/20,ORD - Chicago,US to Foreign,B788 - Boeing 787-800,6,"1,452"
1/1/20,ORD - Chicago,US to Foreign,B789 - Boeing 787-9 Dreamliner,3,840
1/1/20,ORD - Chicago,US to Foreign,E75L - Embraer 175,4,344
1/1/20,ORD - Chicago,US to Foreign,E75S - Embraer 175,7,602
1/1/20,ORD - Chicago,US to Foreign,CRJ7 - Bombardier CRJ-700,4,280
1/1/20,ORD - Chicago,US to Foreign,CRJ9 - Bombardier CRJ-900,4,360
1/1/20,ORD - Chicago,US to Foreign,E145 - Embraer ERJ-145,1,50
1/1/20,ORD - Chicago,US to Foreign,E170 - Embraer 170,2,140
1/1/20,ORD - Chicago,Domestic,B744 - Boeing 747-400,3,"1,376"
1/1/20,ORD - Chicago,Domestic,B748 - Boeing 747-8,2,728
1/1/20,ORD - Chicago,Domestic,B763 - Boeing 767-300,3,690
1/1/20,ORD - Chicago,Domestic,B772 - Boeing 777-200,3,915
1/1/20,ORD - Chicago,Domestic,B77L - Boeing 777-200LRF/LR,1,270
1/1/20,ORD - Chicago,Domestic,B752 - Boeing 757-200,1,200
1/1/20,ORD - Chicago,Domestic,B753 - Boeing 757-300,18,"4,320"
1/1/20,ORD - Chicago,Domestic,A20N - Airbus A320 Neo,4,660
1/1/20,ORD - Chicago,Domestic,A319 - Airbus A319,50,"6,368"
1/1/20,ORD - Chicago,Domestic,A320 - Airbus A320 All Series,58,"8,367"
1/1/20,ORD - Chicago,Domestic,A321 - Airbus A321 All Series,39,"7,110"
1/1/20,ORD - Chicago,Domestic,B712 - Boeing 717-200,11,"1,276"
1/1/20,ORD - Chicago,Domestic,B737 - Boeing 737-700,10,"1,300"
1/1/20,ORD - Chicago,Domestic,B738 - Boeing 737-800,129,"20,696"
1/1/20,ORD - Chicago,Domestic,B739 - Boeing 737-900,55,"9,900"
1/1/20,ORD - Chicago,Domestic,B788 - Boeing 787-800,3,726
1/1/20,ORD - Chicago,Domestic,B789 - Boeing 787-9 Dreamliner,1,280
1/1/20,ORD - Chicago,Domestic,E75L - Embraer 175,56,"4,816"
1/1/20,ORD - Chicago,Domestic,E75S - Embraer 175,4,344
1/1/20,ORD - Chicago,Domestic,MD88 - Boeing (Douglas) MD 88,1,152
1/1/20,ORD - Chicago,Domestic,CRJ2 - Bombardier CRJ-200,57,"2,850"
1/1/20,ORD - Chicago,Domestic,CRJ7 - Bombardier CRJ-700,136,"9,520"
1/1/20,ORD - Chicago,Domestic,E135 - Embraer ERJ 135/140/Legacy,12,420
1/1/20,ORD - Chicago,Domestic,E145 - Embraer ERJ-145,133,"6,650"
1/1/20,ORD - Chicago,Domestic,E170 - Embraer 170,66,"4,620"
1/1/20,ORD - Chicago,Domestic,E190 - Embraer 190,3,270
1/1/20,ORD - Chicago,Domestic,E45X - Embraer ERJ 145 EX,3,150
1/2/20,ATL - Atlanta,US to Foreign,A332 - Airbus A330-200,2,506
1/2/20,ATL - Atlanta,US to Foreign,A333 - Airbus A330-300,5,"1,635"
1/2/20,ATL - Atlanta,US to Foreign,A346 - Airbus A340-600,1,372
1/2/20,ATL - Atlanta,US to Foreign,A359 - Airbus 350-900,2,628
1/2/20,ATL - Atlanta,US to Foreign,B748 - Boeing 747-8,1,364
1/2/20,ATL - Atlanta,US to Foreign,B763 - Boeing 767-300,5,"1,150"
1/2/20,ATL - Atlanta,US to Foreign,B764 - Boeing 767-400,8,"1,960"
1/2/20,ATL - Atlanta,US to Foreign,B772 - Boeing 777-200,2,555
1/2/20,ATL - Atlanta,US to Foreign,B77L - Boeing 777-200LRF/LR,3,810
1/2/20,ATL - Atlanta,US to Foreign,B77W - Boeing 777-300ER,1,224
1/2/20,ATL - Atlanta,US to Foreign,B78X - Boeing 787-10 Dreamliner,1,323
1/2/20,ATL - Atlanta,US to Foreign,B752 - Boeing 757-200,9,"1,800"
1/2/20,ATL - Atlanta,US to Foreign,A319 - Airbus A319,4,496
1/2/20,ATL - Atlanta,US to Foreign,A320 - Airbus A320 All Series,1,150
1/2/20,ATL - Atlanta,US to Foreign,A321 - Airbus A321 All Series,2,370
1/2/20,ATL - Atlanta,US to Foreign,B712 - Boeing 717-200,2,232
1/2/20,ATL - Atlanta,US to Foreign,B737 - Boeing 737-700,8,"1,040"
1/2/20,ATL - Atlanta,US to Foreign,B738 - Boeing 737-800,9,"1,440"
1/2/20,ATL - Atlanta,US to Foreign,B739 - Boeing 737-900,27,"4,860"
1/2/20,ATL - Atlanta,US to Foreign,B789 - Boeing 787-9 Dreamliner,1,280
1/2/20,ATL - Atlanta,US to Foreign,E75S - Embraer 175,4,344
1/2/20,ATL - Atlanta,US to Foreign,MD88 - Boeing (Douglas) MD 88,4,608
1/2/20,ATL - Atlanta,Domestic,A333 - Airbus A330-300,3,"1,005"
1/2/20,ATL - Atlanta,Domestic,B744 - Boeing 747-400,2,896
1/2/20,ATL - Atlanta,Domestic,B763 - Boeing 767-300,6,"1,380"
1/2/20,ATL - Atlanta,Domestic,B764 - Boeing 767-400,1,245
1/2/20,ATL - Atlanta,Domestic,B77L - Boeing 777-200LRF/LR,3,810
1/2/20,ATL - Atlanta,Domestic,B752 - Boeing 757-200,59,"11,800"
1/2/20,ATL - Atlanta,Domestic,B753 - Boeing 757-300,6,"1,440"
1/2/20,ATL - Atlanta,Domestic,A20N - Airbus A320 Neo,10,"1,650"
1/2/20,ATL - Atlanta,Domestic,A319 - Airbus A319,18,"2,268"
1/2/20,ATL - Atlanta,Domestic,A320 - Airbus A320 All Series,52,"7,887"
1/2/20,ATL - Atlanta,Domestic,A321 - Airbus A321 All Series,83,"15,265"
1/2/20,ATL - Atlanta,Domestic,B712 - Boeing 717-200,157,"18,212"
1/2/20,ATL - Atlanta,Domestic,B734 - Boeing 737-400,1,145
1/2/20,ATL - Atlanta,Domestic,B737 - Boeing 737-700,92,"11,960"
1/2/20,ATL - Atlanta,Domestic,B738 - Boeing 737-800,50,"8,004"
1/2/20,ATL - Atlanta,Domestic,B739 - Boeing 737-900,71,"12,780"
1/2/20,ATL - Atlanta,Domestic,E75L - Embraer 175,11,946
1/2/20,ATL - Atlanta,Domestic,E75S - Embraer 175,7,602
1/2/20,ATL - Atlanta,Domestic,MD88 - Boeing (Douglas) MD 88,94,"14,288"
1/2/20,ATL - Atlanta,Domestic,MD90 - Boeing (Douglas) MD 90,54,"8,100"
